RecordID,Title,Rating,Comment
78, All round a good buy.,4,Simple to install and use. Plenty on offer to watch though a lot of old stuff. All in all a good buy
79, Perfect,5,I didnt buy one of these for ages... wish I had. Easy to install basically does it all for you. Easy
80, Useless product,1,Thought I could swap between inputs with that but no. Still don't understand what's this for. I wasn
81, Causes printer jams,1,Very lightweight paper and I had nothing but issues in my HP printer since starting using it. Will h
82, Keeps jamming,1,Keeps jamming the copier when previous paper went through fine.
83, good product,5,I have been using these copy printer papers for a while now and I have consistently been impressed w
84, Don't Buy this Product,1,The paper constantly jams in the printer causing delays and frustration when printing. I doubt it is
85, Only good for lighting fires,1,"Poor paper keeps jamming in printer, a waste of money. Wasted too much time printing again and again"
86, Not great in the paper handler,3,Bought this as a replacement for my usual HP 80GSM paper. Doesn't handle very well in printer feeder
87, Good Quality Paper,5,Happy with the quality of the paper - used for usual bits and pieces of home printing.And the usual 
88, excellent value for money,5,"I recently purchased the Amazon Basics Multi-purpose Copy Printer Paper, A4 80 gsm, 2500 Count (Pack"
89, Good value,4,It's good enough. It compares well with other cheaper paper. Better quality than most 'cheaper versi
90, Great,5,Good paper for the price. Arrived quickly too.
91, Broken within one month,1,I bought this wireless mouse at the end of August 2023 and used it sporadically until the 15 October
92, LAPTOP MOUSE,5,"This is perfect for what I wanted, small ergonomic, and neat. Does what I want it to do."
93, Really good value,5,As expected of a logitech device...very good
94, It stopped working at the 35 day point. And its not easy to return or replace... thanks Amazon,1,It stopped working at the 35 day point. And its not easy to return or replace... thanks Amazon
95, Perfect,5,Works perfectly and battery last ages
96, Excellent,5,"I recently bought myself a laptop for completing university work. I’ve never got on with trackpads, "
97, Waiting for replacement,1,Part missing and told a new one would be replaced but still not had it
98, Tiddly,5,"Listen, if you have shovels for hands Don't even consider this one.It's small, like really small, bu"
99, Superb Value,5,Just received this to replace my Logitech MX Anywhere 2S Wireless Mouse which doesn't scroll properl
100," Great mouse, but not as long-lasting as I had hoped.",2,"A good, compact mouse, with an easy feel and an authentic “click” action which can still be felt. Th"
101, My 4 cats love these,5,I bought the mix and match pouches out of curiosity just for something different wasn't expecting mu
102, His cat loves them,5,His cat loves them
103, great,5,great
104, Cat food,5,Cats loved it and bonus price at the time
105, A fussy cat approves.,5,My cat suddenly got very fussy with her food and was leaving the ones she used to like so I tried th
106, Cat,5,My cat loves these and they are good value for money
107, Price,5,Feed the 🐈
108, Perfect,5,Perfect just what we need. Arrived in good order and in good time.
109, Well the cats & foxes I feed love it all puuuuuurfect. Many thanks,5,Nothing to dislike or find fault with. So well pleased with my goods... .
110, Easy to serve,5,Cat seemed to enjoy it
111, Good quality,5,Good quality bags that don’t rip.
112, Dog poo bags.,4,Decent enough and well packaged but could be slightly thicker.
113, Strong bags,5,"Great little purchase. Strong bags, nicely perfumed."
114, Not compostable,1,Hard to separate bags.Unpleasant smell and definitely not compostable. Will not buy again.
115, Recommend for baby,5,These are great mini rolls to keep nice and neat and travel with. So compact and great size. Only th
116, Great item,5,Strong bags
117, Nice Smell .,5,Bags eliminate smell of dog waste very well .
118," Sturdy, easy to use",5,"I know, poo bags, what can you say? Well, turns out they're not all equal. One batch of cheap ones I"
119," Yup, they hold poo...",5,"In all seriousness, they actually do."
120," Robust bags, great",5,These are much better than the flimsy bags we got from the supermarket which often ripped which is o
121, Great strings,5,I will never use anything different. The lower tones are boosted without making the top strings rigi
122," Good strings, does the job, perhaps not slinky for long",3,"They have a very nice slinky sound when they come fresh, excelent sound, after a fast while i think "
123, Only part of order recieved,1,Only received one set I ordered three sets and payed for three sets please send two more sets or ref
124, Good price,5,All ok
125, Great I’m between gauge,5,Awesome for keeping the guitar in tune (especially strats) and great tone for rhythm and easy on the
126, Good strings but...,3,"I usually go for 10's, on rare occasions 9.5's. I've bought this pack as I needed to change strings "
127, Guitar strings,5,Efficient & quick can I have some more please
128, A great improvement....,5,"I am by no means a guitarist and can only play parts of my favorite songs and themes, and I find mys"
129, Quality strings,5,"Always use these strings, they have always been the best quality"
130, great,4,was really good
131, Great,5,"Great, works well and the kids love it :)"
132, Arrived broken,3,"When I opened the package, something was rattling in the machine, I took off the lid and the piece w"
133, Disco Disco Disco,4,Very good. Easy to use
134, Blew up,1,Product blew up and sparked from the plug. Could of caused a fire. Really unhappy.
135, Light,5,It is nice.
136, Good value for price,5,"Excellent item for the price & colours are lovely & bright & choice of settings. Only tested item, b"
137, The motor stopped working,1,The lights are good but the spinning stopped
138, How can I play music,4,How can I play music? Bluetooth settings on phone show no device
139, Perfect for kids,5,My baby loves it for sensory input. My toddler puts it on with music to dance
140, Arrived broken,2,"Product seems good for the price. But unfortunately arrived broken, resulting in a very disappointed"
141, Junk,1,The connection is huge and right where you lie
142, Works well but odd plug placement,3,The product works well and was competitively priced for a well known brand. My only complaint is tha
143, good,5,good product
144, Good for the cold weather,5,Better than I thought
145, rubbish,1,"Didn't last 2 months of use before one of the control leads pack up , and you can't just get a repla"
146, Too small.,2,Too small to be sold as super king
147, Wish I bought it sooner,4,Such good value and game changer wish I bought it years ago.. only improvement could be that it coul
148, stopped working after 1 winter!,3,im really upset! i bought it last winter and it kept me so warm in the night. now that im ready to u
149, Electric under blanket,5,Easy to secure to the bed dual controls heats up quickly
150, pleasant,4,not as hot as I expected but perfectly adequate
151, Nice touch,5,Great to send to someone you missing..
152, Perfect,5,As it said and looked
153, Fast delivery,5,A great quirky gift.
154, Check the sizes,1,"Nice little verse, size ridiculously small cheapy looking"
155, Just fits nicely in my granddaughter's hand,4,"I liked the product, and my granddaughter was also pleased with it xx"
156, Love them my gosh,5,"Just right , I thought a bit small but they are fantastic 😜"
157, Gift,5,"Lovely gift, and from the photo I was sent it was beautiful and as it appears in the photo!"
158, Beautifully crafted,5,Lovely neat gift just right for keeping on you. Good quiality
159, Great gift,5,"Ordered for my son as a good luck for school. It was a great gift and fitted inside a card, he loved"
160, Nice,5,Gave to my niece after she lost her mum
161, Stopped working,1,Stopped working after a few weeks and GoPro customer service is the worst I have ever experienced. T
162," Overheats, freezes, avoid gopro like a plague",1,"I was super excited to get my first gopro. Does it film with great quality and ease? Yes, but only w"
163, Go pro 10,1,This camera have under full video record and the battery is the big down fall. Also overeating so qu
164, Great camera but not if amazon sell you a faulty one,1,I bought a warehouse version at a discount and it doesn't work properly. It's not possible to turn i
165, Great Produxt,5,"Excellent and was exactly what I wanted for general photos, selfies and underwater videos."
166, Rubbish Batteries,3,"I have given this Gopro Hero 10, 3 stars mainly because the blue batteries that come with it are rub"
167, You MUST buy a MicroSD card which is sold separately,5,"I've asked Amazon to add to the listing ""You must buy a MicroSD card which is sold separately"".Lucki"
168, Worst Product,1,Battery life is very cheap. They buy a good amount and the battery of the camera won't last for one 
169, The software is still absolute garbage,2,"I've owned a GoPro Hero 5 Session for a long time, and it worked pretty well as a basic helmet camer"
170, Love this!,5,Fantastic bit of kit and got a great deal on mine which is even better! Much better user experience 
171, Great product,5,Great product and price
172, Very absorbent,5,Good value as they are so thick and absorbent you don’t need as many sheets to mop upspillages.
173, Value,4,Thickness uses less then other paper towels
174, Best kitchen roll,5,"Very good absorption, enough one square not half of the roll."
175, Cheaper than Asda,5,Always buy from Amazon as it is better value than supermarkets and don’t break and good for cleaning
176, Quality has Reduced!,2,Been buying this for years with great quality and value. Unfortunately the latest order received the
177, Super absorbable tissue,5,"Good value for money, good size and quality, very pleased with how absorbent the sheets are very use"
178, The Package,4,Easy to order/ Quality product/ no handling at a supermarket / prompt delivery/ good bargain
179, Quality has dropped and price gone up,2,"Had these on order over the last couple of years. Unfortunately, the price has gone up considerably "
180, Best kitchen towel,5,"Best kitchen towel, big sheets, cleans up well. Strongly recommended."
181, It does what it is supposed to do,5,Fast video transfer from CCTV camera to the memory card
182, rescuepro deluxe not included?,3,"no registration key for rescuepro deluxe recovery, at least on card packaging"
183, Great product watch out using buy now!,2,Ordered to use for a trip away as a long standing prime member and used buy now feature but it defau
184," Massive size, good value.",5,Works well.
185, Faulty card,1,"After copying files onto the SD card, only the first 60GB or so could be read. After this point the "
186, Fast,5,Use it in a NextBase dashcam cos it’s cheaper than a NextBase branded one and I’ve had no trouble wi
187, Excellent micro sd card,5,Sandisk extreme have good speeds but not the top speeds available with other brands and models. But 
188, Speedy,5,Use this in my steam deck so far it has done everything required of it with no issues
189, super service a problem was corrected very quickly many thanks.,5,used for storage on a motorola phone and is working properly .
190, Ideal for my Drone Video and Photography,5,"Always used SanDisk SDXC cards for all my cameras for many years,and now Drone, Video and Photograph"
191, Light weight and perfect fit !,5,"Light weight bag with handy side pocket, perfect fit for my AirBook. Nothing negative to say !"
192, MacBook Air,5,Excellent product at a very reasonable price
193," Fit's my lenovo ideapad 5 flex 14"" very well",4,"At first I was skeptical when ordering, if it was going to fit my 14"" laptop as I selected the 13.5"""
194, The JETech Laptop Sleeve is a good fit for my laptop. It also protects by the JETech laptop sleeve.,5,The JETech Laptop Sleeve looks good.I am impressed by the protection by the JETech laptop sleeve.I h
195, Perfect!,5,Really good size and very practical.
196," Excellent, perfect fit for my surface pro",5,"Really well made with a lovely soft lining, a complete bargain"
197, Same Amazon value and reliability,4,"The sleeve was received as pictured. The sleeve was delivered 3 days later than advised. However, I "
198, 13 in laptop case,5,"Product is exactly as described, a nice colour and lovely soft material inside. It appears very good"
199, Nice case,5,Lovely soft case which holds and protects my MacBook Air very well. Has an external zip on the outsi
200, ❤️❤️❤️,5,excellent ❤️❤️
201, Every guitar/bass player should have those in their guitar case,5,Every player should have this in their guitar case. Would recommend
202, Guitarpolish,5,"Handy bit of kit, only use every so often does a good job."
203, Makes the fretboard look fresh and well care for,5,Easy to apply and price seems fair
204, No delivery 15 days no refund,1,Ordered on 30th of August cancelled by supplier now 15th September and still no refund. Amazon Custo
205, Does what it says,5,Great to keep your guitar in good condition
206, Excellent,5,Excellent
207, Works a charm,4,Great on old dusty frett boards
208, Amazing,5,Restored my fretboard on a 50yr old Spanish acoustic
209, Expensive but worthwhile for maintaining fretboard,5,Does the job.
210, Great Finish,5,"Removed all smudges from the fret board, not sure on the flavour though... smells nice aha"
211, Delivered on time,5,Very good for plucking guitar strings.
212, good wuality,5,brought them in december and still have all til this day (oct 1 2023)does come in all sizes
213, Just what I needed,5,Good service and prompt delivery
214, Good,5,Good quality product
215, so much variety,5,these are very good i often switch between them very good
216, Multi guitar picks,5,"Lovely looking,"
217, A Perfect Melody of Variety and Quality - A Review of PPpanda Guitar Picks Set,5,"The PPpanda Guitar Picks set, consisting of 32 assorted plectrums, has proven to be an excellent add"
218, Great,5,"Unlike most guitar picks these are strong, ive had some very weak picks in the past that bend wherea"
219, Finger picking good.,5,Good choice of plectrums in the box.Acetate as well. Distinctive to look at.
220, speedy deliver and amazing quality,5,the picks are a bit thing but i have so many im never running out they’re all fun colours and really
221, Guitar string winder,5,Great little tool I change all my strings with this no problem.
222, Useless for unwinding - head keeps coming off,1,"Works great when winding, but in the other direction, the screw holding the winding head unscrews it"
223," A must have, period",5,Okay without this I would have been totally lost... I have replaced the strings for the very first t
224," Not bad, prefer the older version",4,The older one was a bit bigger and the pin puller was on the winder. I have one that’s been used wee
225, Great product,5,"Handy tool , makes changing strings easier."
226, Essential tool for restringing,5,"All three parts you need, proper wire cutter, removal tool for the pegs, and a winder. I probably do"
227, It does the job,3,It does the job but is no better than similar products available at a much lesser price.
228, Like butter,5,Cuts string like butter. Even a 0.068 on a 7 string
229, Exact product!,5,Just what I need!
230, Buy one,5,Spent 30 years refusing to get one of these as I saw them as a gimmick. Always restrung by hand. Fin
231, It’s a great cleansing balm,5,It’s great on the skin
232, Smells gorgeous,5,Feels like a little bit of luxury.
233, Jan,5,I love this product best ever.
234, Favorite product now (first time),5,I am in search to create the best skin care routine for myself.I have struggled as I have sensitive 
235, It’s nice,3,Quite a strong scent. Works well. I feel like I use quite a lot
236, Wish I had read reviews,1,"Arrived looking slightly different to my usual Elemis products. No box, no seal. Also just smells sl"
237, Luxury in a jar,4,"A spa in a jar, one of the best cleansing products I’ve ever used, a little goes a long way so the j"
238, Smells amazing,5,"This just smells amazing, smells very spa like. Great texture and just melts the makeup away. A litt"
239, Feels and smells great!,5,"Highly recommend this product. Makes your skin feel luxurious, cleansed and radiant."
240, Excellent,5,It feels great on the skin. Smells lovely too. I sometimes leave it on for a bit before washing off.
241, Small but Handy,5,"Cooler surface than the other brands I've had, small capacity, ok for single person"
242, Small Slow Cooker for Camper Van,5,Ideal size - cooked a chilli and served 3 of us with additional rice.
243, Works well but arrived damaged,4,Perfect for 2 or 3 people. Bought to use while we are having a new kitchen fitted. So far I have mad
244, Well worth it,5,Perfect for my requirments
245, Bottom fell out of pot,1,Crap quality I’ve just had to clear a curry up off the kitchen side as the bottom fell out of the ce
246, Crackpot,5,Excellent
247, Easy to clean,5,It works very well as expected no snags.
248, great for 1/2 people,5,brilliant little slow cooker for 1/2 people or smaller batch cooking. it is easy to use and clean an
249," Love this thing, perfect size!",5,"I love this slow cooker, I live alone and it’s the perfect size just for me. This makes 2 big portio"
250, Winter stews coming up,5,Perfect for 2 maybe 3. Made casserole n dumplings will be making plenty for winter. Great slow cooke
251, Defective and used,1,The water tank of this item was wet so I wasn't at all surprised when it didn't work properly. Obvio
252," Its Ok, Not Great.",4,"Really great wanted one for a while now, the brush accessory doesn’t stay on very well but all in al"
253, not the best for curtains.,3,I really didn't want to iron the curtains so I gave it a go. Curtains are cotton but not thick/doubl
254, Not even a year old & doesn't work,2,"For the price of it, I would expect to get more than 10 months out of it since its only used to iron"
255, Great travel companion,5,Was really surprised by how good this little gadget is. I took it on holiday and did a great job at 
256, Spits lots of water with the steam,1,Product gives out a lot of steam but it isn't consistent. Even on a low setting it will suddenly do 
257, Best low cost steamer,5,"I’ve used several cheap no brand steamers, this cost about the same but is so much better. Produces "
258, WAS working well until..,1,Out of the sudden it stopped producing steam! I cleaned twice and always make sure of adding clear w
259, Steamer,5,Great steamer
260," Simple, Affective",5,"Really great wanted one for a while now, the brush accessory doesn’t stay on very well but all in al"
261, Well received gift.,5,"The little one apparently loves it, makes bathtime more fun."
262, Falls off the wall,3,Stuck it to the wall but when you use the handle to pump the bubbles it just falls into the bath.
263, Doesn't work,1,3 different bubble liquids and still no foam. Fell off bath tiles and hit my child (surprisingly hea
264, Great toy!,5,"Does exactly what it says: stays stuck to the bath, creates lots of foam (if you put proper bubble b"
265, Ice cream bath toy,1,It didn’t ever work. Should have sent back.
266, Loved it,5,Perfect for children
267," Doesn't stick to tiles or bath, falls off constantly",1,Waste of time and money as it wouldn't stay stuck to the tiles or the side of the bath. One hand is 
268, Bath,5,Quick service and great item plenty of fun thank you
269, Good bath toy,4,I think this could be a bit cheaper so given it 4 stars. But it girl loves it and it makes bath time
270, Didn't work,1,Unfortunately it never seemed to make any bubbles .Left it too late to return
271, Broke after only a year of casual use..,2,"Broke after only a year of casual use..First the left side panel fell off for no reason, then the Mi"
272, Very good,5,"Very good headphones , connect directly to the Xbox with little messing about , very comfortable for"
273, Pricey - but worth it,5,"More expensive than others but really cannot fault them, other than being a little tight at times"
274, BEWARE! They turn the Xbox on!,1,"I bought the headset with the aim to use it with multiple devices, but they keep turning the Xbox on"
275, Worth the extra money over wired,5,"Vast improvement on the wired version of the same headset, would definitely recommend paying extra f"
276, Very good sound,5,"Great sound and good price if you want the best sound during gaming as I do, it has Dolby Atmos and "
277, Perfect headset for xbox,5,Title says all
278, Poorly made,1,Had these for about 6 months and was amazed at how good they where but whilst playing one night the 
279, Best Headset,5,I loved the bass on this thing and the sound quality is amazing it also comes with settings on the X
280, Great headset next to the Xbox,5,"Easy to setup, microphone is very powerful and audio is pretty clear. Good product."
281, Defective and used,1,The water tank of this item was wet so I wasn't at all surprised when it didn't work properly. Obvio
282," Its Ok, Not Great.",4,"Really great wanted one for a while now, the brush accessory doesn’t stay on very well but all in al"
283, not the best for curtains.,3,I really didn't want to iron the curtains so I gave it a go. Curtains are cotton but not thick/doubl
284, Not even a year old & doesn't work,2,"For the price of it, I would expect to get more than 10 months out of it since its only used to iron"
285, Great travel companion,5,Was really surprised by how good this little gadget is. I took it on holiday and did a great job at 
286, Spits lots of water with the steam,1,Product gives out a lot of steam but it isn't consistent. Even on a low setting it will suddenly do 
287, Best low cost steamer,5,"I’ve used several cheap no brand steamers, this cost about the same but is so much better. Produces "
288, WAS working well until..,1,Out of the sudden it stopped producing steam! I cleaned twice and always make sure of adding clear w
289, Steamer,5,Great steamer
290," Simple, Affective",5,"Really great wanted one for a while now, the brush accessory doesn’t stay on very well but all in al"
291, Small but Handy,5,"Cooler surface than the other brands I've had, small capacity, ok for single person"
292, Small Slow Cooker for Camper Van,5,Ideal size - cooked a chilli and served 3 of us with additional rice.
293, Works well but arrived damaged,4,Perfect for 2 or 3 people. Bought to use while we are having a new kitchen fitted. So far I have mad
294, Well worth it,5,Perfect for my requirments
295, Bottom fell out of pot,1,Crap quality I’ve just had to clear a curry up off the kitchen side as the bottom fell out of the ce
296, Crackpot,5,Excellent
297, Easy to clean,5,It works very well as expected no snags.
298, great for 1/2 people,5,brilliant little slow cooker for 1/2 people or smaller batch cooking. it is easy to use and clean an
299," Love this thing, perfect size!",5,"I love this slow cooker, I live alone and it’s the perfect size just for me. This makes 2 big portio"
300, Winter stews coming up,5,Perfect for 2 maybe 3. Made casserole n dumplings will be making plenty for winter. Great slow cooke
301, Nice game,5,Nice game
302, worse than wii,1,souless
303, Purchased as a gift,5,Great gameGood priceSpeedy deliveryLoved it.🎾⚽️🎳
304, Fraud,1,This is a fraud product. It came without any codes or card inside. Contacted the customer support te
305, Fun games mix,5,"As pensioners looking for winter entertainment this is great! Variety of games, lone or multi player"
306, Great set of games,5,Very entertaining for all age groups.Simultaneous bowling for multiple local players is a good addit
307, OK but overpriced,3,"The Nintendo Switch Sports game bundle includes fewer games than Nintendo Wii Sports, which I find t"
308, Present,5,Great gift for my granddaughters 12th Birthday.
309, Great Game,5,Me & my little boy love this game as it has got a variety of sports you can participate in
310, Amazing,5,My boy loves it
311, Great gift,5,Bought as a gift really good quality
312, A perfect Gift,5,I gave this as a birthday gift and it was perfect. Good quality and sits well on car keys. tis taken
313, Superb little key chain,5,Good ket chain if you like funkopops or atar qars
314, Good for the price,3,well seeing the price I didn't have my hopes to high on the quality of this keychain but when it arr
315, It's Grogu,5,Fantastic because it's grogu!! It came boxed so I decided to keep it on display in the box rather th
316, What a lovely little character,5,I am a fan of Grogu and I was happy to find this lovely little key ring. Quality is excellent.
317, So cute- but eyes are bit pink,5,"Super cute keyring, the guy I’m dating loved it. My only hesitation was he looks like he’s kind of g"
318, Perfect,5,All good
319, Love it!,5,I love it.
320, Keyring,5,Bought this as a birthday present for my son and he loves it
321, Excellent globe,5,I was surprised how much this leapfrog globe has to offer out of the box.It offers plenty to do if y
322, Leapfrog rubbish,1,We bought this a while ago but only used this a couple of times the pen broke and I contacted leapfr
323, Great Learning Tool,5,My 6yo daughter loves it and has been super helpful in developing her interest in geography
324, Granddaughter loved it,4,Great learning aid for kids
325, Wonderful education tool,5,I bought the interactive globe for my granddaughter's 6th birthday. She was thrilled with it and in 
326, Good but restricted,3,Good fun for a few weeks but you need a pc to download the extra packs. It plays the games over and 
327, Stylus pen stopped working,1,It was Santa's present... The stylus brake after two months of use. These are my 7 years son's words
328," My kid love it, and I learn too",5,"OMG, this is so educational and fun at the same time. There are lot of small video clips to educate "
329, Disappointing,1,The globe was bought as a Christmas present for our Granddaughter.Worked well for5 days and then sou
330, Purchase as an Xmas present,3,Good product very educational but was quite expensive for waht it was and my kids lost interest afte
331, Brilliant buds,5,These were a present for my husband who is difficult to please and he absolutely loves them. They fi
332, Almost worth every penny,5,"The AirPod Pro 2 is a significant upgrade. These earbuds offer remarkable sound quality, fantastic n"
333, Best in class!,5,"These are singlehandedly the best earbuds I’ve ever tried! The sound is very good, noise cancelling "
334, Pinnacle,5,"Very good in all aspects, good wide sound, instantaneous connection, good battery life, amazing nois"
335, Fantastic as expected,5,Had the AirPod 2 for two years till they started dying in a few minutes. Figured I’d upgrade to the 
336, Excellent sound quality and NC,5,This is not a cheap product but the sound quality is excellent as is the noise cancellation. The tra
337, Noise cancelling is very weak,2,Sound quality is very good. Comfort is good but not as good as previous generation AirPods Pro becau
338, My first Airpods,5,Never had an Airpods before and I think this is what's every iPhone holder need as necessary accesso
339, Awful Microphone!!,1,I gave this product a one-star rating due to its disappointing microphone performance. It's quite su
340, These were a game changer for flying!,5,Excellent noise cancellation feature; this was a game changer for my husband whilst he was flying as
341, OK but very small,3,OK but very small so you can't fit very much on it also items that fitted on my previous grill won't
342, Almost a year later going stribg,5,This is a great example of actually getting what you pay for.Heats up really quick and cooks food we
343, Excellent,5,It's really easy to clean. I'm finding that I don't have to oil the plates for cooking.
344, It cooks as it says,5,It is much easier to use than bothering with our big grill
345, mini grill,5,"good little grill ,stores away neatly."
346, Excellent,5,The best I ever had so far.
347, Good value,5,Compact and well made. Perfect for one person
348, Very Dissapointed,3,At the moment I have only used it for cooking sausages. Whilst they may be cooked throughout they lo
349, Not a toastie machine!,1,Toasties to me mean sealed edges.This machine toasts the top and bottom of the bread and that's it.D
350, 2nd hand,1,
351, Tile Tracker,5,Excellent tracking device - bought the model that has replaceable batteries rather than the 3 year n
352, Ideal for tracking luggage,4,Tried out for the first time during recent trip to/from Mallorca to keep an eye on the movement of o
353, Disappointed - you have to pay for what should be basic features.,1,“Smart Alerts” should be included in the basic option.The whole point is to get a warning if you lea
354, Either faulty or poor quality,1,"Having used tiles to locate my phone, keys and wallet in the past I decided to get some new ones aft"
355, Absolutely rubbish and inaccurate,1,I bought these for peace of mind to pop in my daughter's pocket whilst she plays outside with her fr
356, Waste of money,1,The tile pro does not have a range of 120m... It has a notify when found. Does not allow you call it
357, Ok,3,"Not a bad bit of kit, quite accurate. I've used these to secure site keys. It can be used without a "
358," Terrible, can't understand how these have good reviews!!",1,Terrible....i bought two of these to track my luggage and they only work when within about 30 feet o
359, Excellent product,5,"Bought these after trying the Apple air tag, which I could hardly hear even standing next to it. Thi"
360, Waste of money,1,I purchased a pack of 2 so that I could track my luggage when we went on holiday. Long story short t
361, Hours of Play,5,"Great for any surface, just what my grandsons needed this summer! An absolute hoot playing round Rob"
362, A swinging success,5,Swing ball set is great to use outside and inside depending on the weather .It’s great for all ages 
