ID,Title,Rating,Comment,asin_number
32, value for money,5,still using this product now such a good buy well worth the money,B09QXMZHV8
33, Great product,5,"Our dish washer was turning everything white until we got this, in one wash, our glasses were the sh",B09QXMZHV8
34, Good product at a good price,5,Best price I could find online or in supermarkets. Used this product for a year or so and consistent,B09QXMZHV8
35, Dishwasher tables,5,Great 👍 first time no hand wash required,B09QXMZHV8
36, Perfect,5,Great even in my low energy short cycles,B09QXMZHV8
37," Good shine, nice quality product",4,I definitely see a difference in quality of wash with this product. The glasswear comes out great an,B09QXMZHV8
38, Fab dishwasher tablets,5,Great item works well,B09QXMZHV8
39, Cleans really well,5,Easy to use,B09QXMZHV8
40, Great wash,5,I still think that these are the best for my machine!,B09QXMZHV8
41, Toilet tissue.,4,This was okay but not as thick as brand we use.l would buy again if cheaper than other one I buy but,B08HLGKP9J
42, Good,5,Good,B08HLGKP9J
43, Toilet rolls,5,Thickness and cost excellent,B08HLGKP9J
44, Loo roll,4,"Rolls are very small, not thick",B08HLGKP9J
45, Not that great,2,Not that great as not very soft. It's somewhat cheap and I will not purchase again,B08HLGKP9J
46, Toilet roll,5,Nice 3 ply soft toilet roll now competing with Saxon on price. We will be getting this one again.,B08HLGKP9J
47, Brilliant,5,Great value,B08HLGKP9J
48, Rough paper,1,For something called velvet you would think it's soft but it is actually quite rough wouldn't buy ag,B08HLGKP9J
49, Good value,5,Good value and quality toilet paper.,B08HLGKP9J
50, Money down the toilet,5,"Cleans your button, so does what it’s meant to can’t ask for anything more.",B08HLGKP9J
51, Great production,5,Genuine product great quality.,B003VQZC3U
52, Great value for money,5,"Great value for money, super small so easy to swallow",B003VQZC3U
53, Vitabiotics Vitamin D3 tablets,5,"Great price, I’m sure they will do the job. Everyone needs Vitamin D3 supplementing, especially in w",B003VQZC3U
54, Don’t bother,3,Took them for a month didn’t feel any different,B003VQZC3U
55, Good product,4,Good product,B003VQZC3U
56, Good product,5,Easy to swallow.,B003VQZC3U
57, Great!,5,Great!,B003VQZC3U
58, Does whst it says on the tin,4,Great,B003VQZC3U
59, Good vitamin d,4,Good value and good price.,B003VQZC3U
60, Quality brand,5,Smallish easy to swallow comfortably perfect daily amount and personally good results felt,B003VQZC3U
61, Fair price,5,Same good old fairy at cheaper price.,B08DGPKWWR
62, Just so convenient.,4,It is what it is - but buying in bulk is just a lot more convenient,B08DGPKWWR
63, Great value,5,Great value for money.,B08DGPKWWR
64, Great buy,5,Love this product very gentle but cleans great wouldn't use anything else for young children,B08DGPKWWR
65, Efficient cleaning power,5,"Good cleaning efficiency ,some non bio tabs just don't get your clothes that clean. These do at a lo",B08DGPKWWR
66, Excellent,5,Great washing tabs. Lovely smell. At a great price.,B08DGPKWWR
67, Great value for money,5,"Love everything about this, really convenient to use at my apartment.",B08DGPKWWR
68, Great product but delivery was left on doorstep not as instructed,5,great product in volume 14 pence per wash,B08DGPKWWR
69, Favourite,5,My favourite family detergent at a great price.,B08DGPKWWR
70, Ok product,3,Expecting more from this brand,B08DGPKWWR
71, Good,5,Easy to setup,B08C1RR8JM
72, Defaulted control remote,3,The item is alright but came with issue on the control remote. It says remote can be used to turn on,B08C1RR8JM
73, saved aerial replacement,5,"my aerial needed replacing, this device saved the day and a load of dosh",B08C1RR8JM
74, Easy to use,5,Does what it says on the box. Good sound and quality. Connects very easy,B08C1RR8JM
75, Great,5,Many hours streaming,B08C1RR8JM
76, Firesticks,5,Bought 2 new firesticks for good price. Delivery a bit slow but once I got them they were easy setup,B08C1RR8JM
77, Amazon firestick,5,Great products and easy to use!,B08C1RR8JM
78, Meh,1,Slow,B08C1RR8JM
79, Value for money,5,Good price and good product,B08C1RR8JM
80, Remote control not working,1,After 2 months the remote control is not working.,B08C1RR8JM
81, Order received before due date,4,"I didn't dislike anything about this product it is ideal for printing letters, notes of meetings etc",B01FSGVN4M
82, Damaged on delivery,1,Product and packaging damaged,B01FSGVN4M
83, Disappointing,1,"For printing, but very slow, stopped printing half way through ‘to let paper dry’ then continued pri",B01FSGVN4M
84, Teview,5,"Excellent product, will buy again.",B01FSGVN4M
85, Happy customer.,5,"Prompt delivery, quality product and a fair price. would buy these again.",B01FSGVN4M
86, Poor Quality,1,Very Bad quality paper keep getting Jam while scanning and printing,B01FSGVN4M
87, Perfectly acceptable printing quality paper.,5,Perfectly acceptable printing quality paper.,B01FSGVN4M
88, Causes printer jams,1,Very lightweight paper and I had nothing but issues in my HP printer since starting using it. Will h,B01FSGVN4M
89, Keeps jamming,1,Keeps jamming the copier when previous paper went through fine.,B01FSGVN4M
90, good product,5,I have been using these copy printer papers for a while now and I have consistently been impressed w,B01FSGVN4M
91, Good wireless mouse,5,The mouse is very good and very easy to set up. Even comes with a battery,B00552K0GM
92, Keeps sticking,1,These used to be good but the latest ones keep sticking. Rubbish.,B00552K0GM
93, No battery in pack,3,Nice enough product. Sold with battery but it wasn't in the pack.You can't get contact to request ju,B00552K0GM
94, Good size and shape for a more petite to medium hand. Not too clunky.,5,Bought this to replace slightly larger and clunkier version which was becoming faulty (working on co,B00552K0GM
95, Didnt work,1,Didnt work. Tried changing battery but nothing. Do not buy,B00552K0GM
96, Mouse,5,Was easy to set up and comfortable to use,B00552K0GM
97, Useful mouse,5,Came with a battery and has proved to be very useful. Pleased to have rid of another wire from my wo,B00552K0GM
98, Brilliant.,5,"I absolutely love this mouse!It's a good size, comfortable and easy to grip and use. The sensitivity",B00552K0GM
99, Good quality product,5,"As described. Fast dispatch. Packaged well. Thank you. Easy to use, and set up - plug usb in, good t",B00552K0GM
100," Good for small hands, smooth operation and looks cute",5,"I have small hands (size 6.5 approx), and find that most mouse products are a little too large for m",B00552K0GM
101, Makes a change,5,"I got these for my cats, but only my short haired tabby likes it. My long haired is a very picky cat",B0BQNBM2N8
102, Ray the cat 😺,5,Ray the cat really enjoyed this cat food and always has a clean dish 🥘,B0BQNBM2N8
103, Cat food,5,Very good deliverry and driver,B0BQNBM2N8
104, Excellent Value!,5,My cat loves this product. That’s good enough for me at this price.,B0BQNBM2N8
105, my cat loves it,5,my cat loves it and it doesn't stink as other brands,B0BQNBM2N8
106, Cat food missing,1,Box was damaged and ripped open there was cat food missing wouldn’t get this again,B0BQNBM2N8
107, Getting robbed for cat food lol,1,Very bad ! got it bit of time ago just took the big brown box off meant be 120 packes but only 80 wh,B0BQNBM2N8
108, Easy to order,5,As described,B0BQNBM2N8
109, Hardly any meat in the pouch,3,Half of the meat is in the pouch compared to usual amounts in the smaller boxes,B0BQNBM2N8
110, Cats love this product,5,Bought this as they were on special offer and our cats live the different flavours.,B0BQNBM2N8
111, Great item,5,By far the best brand of dog poop bags. Come in rolls which are easy to use.,B00BSYR7K8
112, Dog Toilet Bags,4,Nice size for the hand.,B00BSYR7K8
113, Great dog poo bags!,5,I always buy these bags - really good quality and when you get to the last 3 on a roll there’s a lit,B00BSYR7K8
114, Not bio-degradable!!! Not compostable!,1,These are just plastic bags that do not bio degrade!!False marketing - buy the alternative brand tha,B00BSYR7K8
115, Always dependable poo bags,5,Only ever use this brand. Never a problem in use and so easy to use. Highly recommended product.,B00BSYR7K8
116, Poo bags,5,The poo bags are of good quality & nice & strong. I have been getting these for a while now.,B00BSYR7K8
117, nice and easy to use,4,maybe a bit thin but they don't leak so all good,B00BSYR7K8
118, Great bags,5,These bags feel very sturdy and are thick. They are much more comfortable to use than 'classic' poo ,B00BSYR7K8
119, Super,5,Great poo 💩 dogs the best ones going,B00BSYR7K8
120, Great bags,5,"Very strong, big and the lavender scent masks the contents nicely. Handy sized rolls which tear easi",B00BSYR7K8
121, A great set of strings for the price.,5,Ernie ball strings are very well established in the music industry. They offer a combination of a gr,B0002M6CW6
122, Good sound and feel,5,"Favourite string type , as always sounds great!",B0002M6CW6
123, Ernie Ball Strings,5,"These are my goto strings for electric guitars, and have been for many years. They sound great, rare",B0002M6CW6
124, Great strings to fit,5,Easy to play,B0002M6CW6
125, Really good value and excellent quality,5,I recently got my electric guitar out of the attic after 10 years for my young son and purchased the,B0002M6CW6
126, 40 years and never let me down,5,I have played on every type of stage from pub gig to the O2 over a 40 year career and I've only ever,B0002M6CW6
127, Top Strings,5,These are still the best strings out there.,B0002M6CW6
128, Really good,5,"Quality,value for money",B0002M6CW6
129," Great strings , just what I needed",5,"Great strings and great value, good length so should fit all electric guitars, I’ve bought a couple ",B0002M6CW6
130, A great improvement....,5,"I am by no means a guitarist and can only play parts of my favorite songs and themes, and I find mys",B0002M6CW6
131, Disco,5,Love this it's very powerful colours are amazing,B08GS8PGSB
132, Brilliant light show,5,Lit up party venue brilliantly and well worth the purchase price.,B08GS8PGSB
133, Arrived damaged,2,The product box was damaged and it looked like it was opened previously. Not good enough quality for,B08GS8PGSB
134, Fantastic,5,,B08GS8PGSB
135, Compact,4,"Size is just right for the bedrooms, easy to use .",B08GS8PGSB
136, So tiny yet so powerful! Amazing!,5,It's all the teen wanted for her party and more. Brilliant colour projections and easy to set up and,B08GS8PGSB
137, Works as it should,4,Really good foe the price,B08GS8PGSB
138, Vey small,3,"Very small little light, works great when tried, looks ideal for my child’s small bedroom for Xmas",B08GS8PGSB
139, Broken on arrival,1,The item arrived broken with bits rattling around in it meaning that it didn't work at all.,B08GS8PGSB
140, lights,5,"its great , xmas or parties ,love it",B08GS8PGSB
141, The plastic connector attached to the blanket makes a large corner of the blanket unusable.,2,I don't understand your objection to my review.I thought the blanket itself was OK but the plastic c,B00B0KJ3F2
142, Not Alexa,3,Says in the information that it’s Alexa enabled. Well it’s not. The only way to make it so is to plu,B00B0KJ3F2
143, This product arrived on the 13th November installed and faulty not working,5,Electric heating blanket,B00B0KJ3F2
144, Waste of money,1,"Read a lot of reviews and was tossing and turning over buying this and decided to just do it, massiv",B00B0KJ3F2
145, Double Electric blanket,1,Too small for a double bed ..I should have ordered king size .. but as I am an O A P and cannot be m,B00B0KJ3F2
146, Avoid,1,"This product lasted 1 week before not heating, unimpressed to say the least",B00B0KJ3F2
147, Okay but not great,3,"As per previous reviews, this blanket comes up very small - I bought a king size and it is actually ",B00B0KJ3F2
148, Quality product,5,"works great, warms up quickly",B00B0KJ3F2
149, Way to small for a standard single bed,1,Way to small for a standard single bedI have had several over the years….Can believe there to tight ,B00B0KJ3F2
150, Cable controller on wrong side for me (same as everyone else),1,Cable controller on top right (as you are laying on it) and won’t reach the plug socket if turned ro,B00B0KJ3F2
151, A little hug,5,Very pkeased,B08CVSDS63
152, Great little product,5,Excellent value such a pretty little keepsake thank you.,B08CVSDS63
153, Cute,5,Lovely,B08CVSDS63
154, Cute,5,Very cute gift to show you love.Perfect stocking filler,B08CVSDS63
155, Keepsake,5,"My granddaughter was delighted with this heart keepsake ,she will take it with her on her travels to",B08CVSDS63
156, Recipient loved it,5,Recipient loved it,B08CVSDS63
157, No visitors,5,Received with great joy as no visitors on her ward happy days,B08CVSDS63
158, Useful to have for little gifts,5,I just liked the little hand size of itThey are good qualityWorth the value of having them for futur,B08CVSDS63
159, Perfect stocking filler,5,"Great size, beautiful message",B08CVSDS63
160, Really lovely,5,This is a lovely little gift for a loved one.,B08CVSDS63
161, Excellent Quality,5,After a lot of research I got brave and bought the Hero 10. I use it for recording walks and it does,B09D15SFMQ
162, Great upgrade but ...,4,I've had many gopros from the original and usually upgrade every 4/5 years. The Gopro 10 is much big,B09D15SFMQ
163, Faulty item was sent,1,Faulty item was sent . every time I try to record /stop video it will shut down though battery was f,B09D15SFMQ
164, Sturdy and waterproof…,5,Sorry have no idea…just bought these for my son in Brazil…he had one but got stolen….ideal for him a,B09D15SFMQ
165, Stopped working,1,Stopped working after a few weeks and GoPro customer service is the worst I have ever experienced. T,B09D15SFMQ
166," Overheats, freezes, avoid gopro like a plague",1,"I was super excited to get my first gopro. Does it film with great quality and ease? Yes, but only w",B09D15SFMQ
167, Go pro 10,1,This camera have under full video record and the battery is the big down fall. Also overeating so qu,B09D15SFMQ
168, Great camera but not if amazon sell you a faulty one,1,I bought a warehouse version at a discount and it doesn't work properly. It's not possible to turn i,B09D15SFMQ
169, Great Produxt,5,"Excellent and was exactly what I wanted for general photos, selfies and underwater videos.",B09D15SFMQ
170, Rubbish Batteries,3,"I have given this Gopro Hero 10, 3 stars mainly because the blue batteries that come with it are rub",B09D15SFMQ
171, Great Product,5,"These do what it says on the tin. Robust, absorbent and I keep them on subscription.",B01JS6YLQK
172, Blitz Kitchen roll,5,The Kitchen towels are good for drying down the sides after I clean them. And very good for cleaning,B01JS6YLQK
173, Hands down the best kitchen roll,5,The old saying you get what you pay for definitely comes in to play here. I have used the cheapest t,B01JS6YLQK
174, Make sure it is there when you need it.......,5,It's perfect for so many jobs.......,B01JS6YLQK
175, Quality product & value for money,5,Like everything about this item,B01JS6YLQK
176, Good,5,Brilliant as ever good value,B01JS6YLQK
177, Squashed the bits,1,I paid good money for these when then came they where squashed which was absolutely disgusting hadn’,B01JS6YLQK
178, Cheap - not in the good sense,1,I decided to take a punt on purchasing this kitchen roll given the increasing price of Plenty.This w,B01JS6YLQK
179," good item, will buy it again if need",5,"good item, will buy it again if need",B01JS6YLQK
180, Kitchen roll,5,Value for money and size and thickness,B01JS6YLQK
181, The Micro Marvel,5,When you buy a new piece of kit it’s always best to go for the latest spec cards.,B09X7DNF6G
182, Always performs,5,"Best choice in micro sd ,end of 👍",B09X7DNF6G
183, Decent quality.,5,Prices have dropped as higher capacity is the norm. I dont need such high capacity for a device. I d,B09X7DNF6G
184, Good memory size and brand,5,It was cheap for a 256gb memory card. I have used it in my old lumix camera and it's working great,B09X7DNF6G
185," Works very well, try to buy it on offer.",5,Very nice card for the money. Used in my vita for backup games. Reads games quite fast. 256GB is ple,B09X7DNF6G
186, Solid memory,5,Good recording memory for my security cameras,B09X7DNF6G
187, Great name,5,The name has a great reputation so to me in photography you really depend on what you use so use the,B09X7DNF6G
188, Randomly became corrupt,4,So the setting up and everything to get going was perfect but out of the blue it just became corrupt,B09X7DNF6G
189, Awesome product awesome price thank you Amazon,5,Seems like the genuine article.,B09X7DNF6G
190, Quality micro sd card,5,Great company and good reviews.,B09X7DNF6G
191, Great product!,5,Very good... same as the description!!,B076ZQQTYR
192, Reliable Laptop Sleeve with Minor Drawbacks,4,The JTECH Laptop Sleeve lives up to its promise as a solid carry case for laptops. It provides adequ,B076ZQQTYR
193, Great!,5,Great product.,B076ZQQTYR
194, Quality,5,"It feels like it will last, the quality is very good for the price, would tell you to get one. 100%",B076ZQQTYR
195, Fits my MacBook perfect,5,Protects lap top fits nice,B076ZQQTYR
196, Light weight and perfect fit !,5,"Light weight bag with handy side pocket, perfect fit for my AirBook. Nothing negative to say !",B076ZQQTYR
197, MacBook Air,5,Excellent product at a very reasonable price,B076ZQQTYR
198," Fit's my lenovo ideapad 5 flex 14"" very well",4,"At first I was skeptical when ordering, if it was going to fit my 14"" laptop as I selected the 13.5""",B076ZQQTYR
199, The JETech Laptop Sleeve is a good fit for my laptop. It also protects by the JETech laptop sleeve.,5,The JETech Laptop Sleeve looks good.I am impressed by the protection by the JETech laptop sleeve.I h,B076ZQQTYR
200, Perfect!,5,Really good size and very practical.,B076ZQQTYR
201, Looks good but small amount,4,Haven’t used it yet,B000BNSYHW
202, Old to like new,5,"I liked the the fact this goes a long way,I only used a very tiny amount and my tired looking fret b",B000BNSYHW
203, Every guitar/bass player should have those in their guitar case,5,Every player should have this in their guitar case. Would recommend,B000BNSYHW
204, Guitarpolish,5,"Handy bit of kit, only use every so often does a good job.",B000BNSYHW
205, Makes the fretboard look fresh and well care for,5,Easy to apply and price seems fair,B000BNSYHW
206, No delivery 15 days no refund,1,Ordered on 30th of August cancelled by supplier now 15th September and still no refund. Amazon Custo,B000BNSYHW
207, Does what it says,5,Great to keep your guitar in good condition,B000BNSYHW
208, Excellent,5,Excellent,B000BNSYHW
209, Works a charm,4,Great on old dusty frett boards,B000BNSYHW
210, Amazing,5,Restored my fretboard on a 50yr old Spanish acoustic,B000BNSYHW
211," Second time ordering, tin is much thinner than the first time and advertised as in the pictures.",2,Second time buying as I lost my first tin (Fell out of my bag on the way home) and it did me well. P,B0751G5NJN
212, Delivered on time,5,Very good for plucking guitar strings.,B0751G5NJN
213, good wuality,5,brought them in december and still have all til this day (oct 1 2023)does come in all sizes,B0751G5NJN
214, Just what I needed,5,Good service and prompt delivery,B0751G5NJN
215, Good,5,Good quality product,B0751G5NJN
216, so much variety,5,these are very good i often switch between them very good,B0751G5NJN
217, Multi guitar picks,5,"Lovely looking,",B0751G5NJN
218, A Perfect Melody of Variety and Quality - A Review of PPpanda Guitar Picks Set,5,"The PPpanda Guitar Picks set, consisting of 32 assorted plectrums, has proven to be an excellent add",B0751G5NJN
219, Great,5,"Unlike most guitar picks these are strong, ive had some very weak picks in the past that bend wherea",B0751G5NJN
220, Finger picking good.,5,Good choice of plectrums in the box.Acetate as well. Distinctive to look at.,B0751G5NJN
221, Works pretty well.,4,"It cuts through my strings like butter, feels sturdy and well made and the price is just right.",B0002E1G5C
222, Unscrews itself and falls apart,1,"The string cutter and the pin remover are fine. But the main function, the string winder, failed on ",B0002E1G5C
223, Excellent,5,Great tool for fast string changes.,B0002E1G5C
224, Guitar string winder,5,Great little tool I change all my strings with this no problem.,B0002E1G5C
225, Useless for unwinding - head keeps coming off,1,"Works great when winding, but in the other direction, the screw holding the winding head unscrews it",B0002E1G5C
226," A must have, period",5,Okay without this I would have been totally lost... I have replaced the strings for the very first t,B0002E1G5C
227," Not bad, prefer the older version",4,The older one was a bit bigger and the pin puller was on the winder. I have one that’s been used wee,B0002E1G5C
228, Great product,5,"Handy tool , makes changing strings easier.",B0002E1G5C
229, Essential tool for restringing,5,"All three parts you need, proper wire cutter, removal tool for the pegs, and a winder. I probably do",B0002E1G5C
230, It does the job,3,It does the job but is no better than similar products available at a much lesser price.,B0002E1G5C
231, Fantastic!,5,I can't praise this cleansing balm enough. I went through many other creams before trying this one b,B08P68RPC1
232, My skin feels amazing,5,I have loved this product for a long time and so does my daughter. My skin looks and feels great aft,B08P68RPC1
233, Nice present,5,Good Xmas present,B08P68RPC1
234, Love it,5,Have tried many products but always come back to this love the smell and the feeling and the outcome,B08P68RPC1
235, ELEMIS Pro-Collagen Cleansing Balm,5,I am completely impressed with this product as it smells like a spa in a jar and removed every trace,B08P68RPC1
236, My favorite,5,Started using this after elemis discontinued their rose petal cleanser. I really like the texture an,B08P68RPC1
237, Good,5,Great but too many essential oils,B08P68RPC1
238, Cleared my skin.,5,Absolutely adore the product. Worth every penny- a little goes a long way-leaves my skin feeling moi,B08P68RPC1
239, Best cleanser ever!,5,Favourite cleanser by far and I have tried many! It’s the only one I reorder again. Smells like a sp,B08P68RPC1
240, Home facial,5,Cleanses well but also leaves skin supple and so soft.,B08P68RPC1
241, Fab little gadget,5,"Ideal for 2 people. I chop chicken and veg and throw it in the Crockpot. A few hours later, deliciou",B08FB994L8
242, Perfect for 1-2 people,5,I needed a smaller slow cooker as my family-sized one was too big for my smaller household. I had bo,B08FB994L8
243, Compact and great,5,"Stews, ragu, soups, chilli and curries, and more, looking forward to trying out other things to do",B08FB994L8
244, Product fine but packaging was non existent,1,The product came with the address stickers stuck to the box. No outer packaging. Bit of a nuisance g,B08FB994L8
245, My baby CrockPot,5,I love this!I already have a large Morphy Richards slow cooker which is great when I have company bu,B08FB994L8
246, Good value,5,"Great value for money, easily able to make two meals with it",B08FB994L8
247, Works as expected,5,Fine for one or two people,B08FB994L8
248, Great,5,Great thanks,B08FB994L8
249, Slow cooker,2,Purchased for an easier life. Wish I never bought it. Don't like my food sweating for long periods o,B08FB994L8
250, Great price,5,Quality looks great and very good price,B08FB994L8
251, Item does not work,5,"Hi , I purchased this item on 24th August and it has not worked since, it just leaks where you put t",B08B8XQG8B
252, See review,3,"Tried it once the steam lasted for one shirt, did not do a good job as the steam was not continuous.",B08B8XQG8B
253, Absolutely useless,1,"Don't waste you time or money, this is an absolutely useless product",B08B8XQG8B
254, Swan garment steamer,4,I tried to steam a shirt on a hanger thinking it would be smooth. Maybe with practice I will get the,B08B8XQG8B
255," Useful, easy to hold.",5,Removes creases easily.,B08B8XQG8B
256, Adequate,4,Great to get rid of stubborn creases on a shirt or two but you still have to iron it afterwards if y,B08B8XQG8B
257, Defective and used,1,The water tank of this item was wet so I wasn't at all surprised when it didn't work properly. Obvio,B08B8XQG8B
258," Its Ok, Not Great.",4,"Really great wanted one for a while now, the brush accessory doesn’t stay on very well but all in al",B08B8XQG8B
259, not the best for curtains.,3,I really didn't want to iron the curtains so I gave it a go. Curtains are cotton but not thick/doubl,B08B8XQG8B
260, Not even a year old & doesn't work,2,"For the price of it, I would expect to get more than 10 months out of it since its only used to iron",B08B8XQG8B
261, Kids love this toy,4,Kids love this toy keeps them busy in the bathroom,B095SYWNHJ
262, Bath toy,3,Not as good as it showed on box thanks,B095SYWNHJ
263, Loved by all,5,My children (1 and 7) absolutely love this. It is played with constantly through bathtime. It sticks,B095SYWNHJ
264, Rubbish,1,Doesn't work like you'd think.Also I didn't think before but too much soap in my girls bath isn't gr,B095SYWNHJ
265, Well received gift.,5,"The little one apparently loves it, makes bathtime more fun.",B095SYWNHJ
266, Falls off the wall,3,Stuck it to the wall but when you use the handle to pump the bubbles it just falls into the bath.,B095SYWNHJ
267, Doesn't work,1,3 different bubble liquids and still no foam. Fell off bath tiles and hit my child (surprisingly hea,B095SYWNHJ
268, Great toy!,5,"Does exactly what it says: stays stuck to the bath, creates lots of foam (if you put proper bubble b",B095SYWNHJ
269, Ice cream bath toy,1,It didn’t ever work. Should have sent back.,B095SYWNHJ
270, Loved it,5,Perfect for children,B095SYWNHJ
271, High quality headphones,5,"There are quite a few things I like about these headphones. The build quality is very good, it’s rea",B08WJSJT4J
272, Amazing,5,It amazing headsets love the fact can connect to my phone and Xbox simultaneously .great battery lif,B08WJSJT4J
273, Works out of the box.,5,"Great item, easy to set up and seem a much better made product that the Turtle beach ones I was usin",B08WJSJT4J
274, I highly recommend it,5,I highly recommend it,B08WJSJT4J
275, Peace at last,5,"My grandson has been very pleased with this upgrade and now we can still watch tv , if only there wa",B08WJSJT4J
276, These!,5,"I have had a few headsets over the months (for various reasons), and I have to say that even those m",B08WJSJT4J
277, Microphone housing breaks VERY easily,4,"Since purchase, I have found that there are many others online who have had the same issue. No force",B08WJSJT4J
278, Outstanding sound quality,5,As good as my Bose 5.1 home cinema.,B08WJSJT4J
279, Xbox headset,5,These are great quality! My 18year old bought this for his brother for his 8th birthday and they are,B08WJSJT4J
280, Great,5,All around great head set. Never been one to use headsets though this is well worth it. You can hear,B08WJSJT4J
281, Item does not work,5,"Hi , I purchased this item on 24th August and it has not worked since, it just leaks where you put t",B08B8XQG8B
282, See review,3,"Tried it once the steam lasted for one shirt, did not do a good job as the steam was not continuous.",B08B8XQG8B
283, Absolutely useless,1,"Don't waste you time or money, this is an absolutely useless product",B08B8XQG8B
284, Swan garment steamer,4,I tried to steam a shirt on a hanger thinking it would be smooth. Maybe with practice I will get the,B08B8XQG8B
285," Useful, easy to hold.",5,Removes creases easily.,B08B8XQG8B
286, Adequate,4,Great to get rid of stubborn creases on a shirt or two but you still have to iron it afterwards if y,B08B8XQG8B
287, Defective and used,1,The water tank of this item was wet so I wasn't at all surprised when it didn't work properly. Obvio,B08B8XQG8B
288," Its Ok, Not Great.",4,"Really great wanted one for a while now, the brush accessory doesn’t stay on very well but all in al",B08B8XQG8B
289, not the best for curtains.,3,I really didn't want to iron the curtains so I gave it a go. Curtains are cotton but not thick/doubl,B08B8XQG8B
290, Not even a year old & doesn't work,2,"For the price of it, I would expect to get more than 10 months out of it since its only used to iron",B08B8XQG8B
291, Fab little gadget,5,"Ideal for 2 people. I chop chicken and veg and throw it in the Crockpot. A few hours later, deliciou",B08FB994L8
292, Perfect for 1-2 people,5,I needed a smaller slow cooker as my family-sized one was too big for my smaller household. I had bo,B08FB994L8
293, Compact and great,5,"Stews, ragu, soups, chilli and curries, and more, looking forward to trying out other things to do",B08FB994L8
294, Product fine but packaging was non existent,1,The product came with the address stickers stuck to the box. No outer packaging. Bit of a nuisance g,B08FB994L8
295, My baby CrockPot,5,I love this!I already have a large Morphy Richards slow cooker which is great when I have company bu,B08FB994L8
296, Good value,5,"Great value for money, easily able to make two meals with it",B08FB994L8
297, Works as expected,5,Fine for one or two people,B08FB994L8
298, Great,5,Great thanks,B08FB994L8
299, Slow cooker,2,Purchased for an easier life. Wish I never bought it. Don't like my food sweating for long periods o,B08FB994L8
300, Great price,5,Quality looks great and very good price,B08FB994L8
301, Great,5,Great game,B09S79RJN2
302, Switch sports,5,"Good set of games. Ideal for the family and brings out not only old games familiar from the Wii, but",B09S79RJN2
303, Good price,5,arrived early bought as a gift,B09S79RJN2
